name,diameter,center_lon,center_lat,type,code
Rima Messier,74.217800000000000,44.545445574753700,-0.756472718684208,"Rima, rimae",RI
Rima Zahia,15.242200000000000,329.544363243772000,25.020889366786800,"Rima, rimae",RI
Vallis Alpes,155.417000000000000,3.631380845118370,49.208780303907900,"Vallis, valles",VA
Vallis Baade,206.789000000000000,282.770172959574000,-45.553348169171500,"Vallis, valles",VA
Vallis Bohr,95.321900000000000,271.138121915868000,10.248944060338400,"Vallis, valles",VA
Vallis Bouvard,287.924000000000000,277.679615071885000,-38.449661352946200,"Vallis, valles",VA
Vallis Capella,106.280000000000000,35.038471639769000,-7.391784269822610,"Vallis, valles",VA
Vallis Inghirami,145.084000000000000,287.410347547891000,-43.947023348125600,"Vallis, valles",VA
Vallis Palitzsch,110.498000000000000,64.637389778851900,-26.163498793992100,"Vallis, valles",VA
Vallis Planck,502.899000000000000,126.155869395508000,-57.264891465885600,"Vallis, valles",VA
Dorsum Bucher,84.651400000000000,320.449678362000000,30.763348755000000,"Dorsum, dorsa",DO
Dorsa Barlow,112.575000000000000,30.567332479772400,14.043945794139600,"Dorsum, dorsa",DO
Catena Sylvester,139.000000000000000,276.882236642918000,79.989784939495000,"Catena, catenae",CA
Mons Agnes,0.000000000000000,5.340450837099180,18.661865986151700,"Mons, montes",MO
Catena Abulfeda,209.972000000000000,16.700132415052600,-16.591157518947500,"Catena, catenae",CA
Catena Artamonov,131.215000000000000,105.771818802000000,26.091608680000000,"Catena, catenae",CA
Rima Birt,54.183000000000000,350.718921497975000,-21.403404287971000,"Rima, rimae",RI
Tisserand A,24.530000000000000,49.475652343986900,20.356432658076800,Satellite Feature,SF
Catena Davy,52.336100000000000,353.734424345263000,-10.984739060771800,"Catena, catenae",CA
Catena Dziewulski,80.659400000000000,100.269208899819000,18.775628048417600,"Catena, catenae",CA
Catena Gregory,148.158000000000000,129.802518496332000,-0.591886513842497,"Catena, catenae",CA
Catena Humboldt,162.288000000000000,84.696989256000100,-21.980935567999900,"Catena, catenae",CA
Catena Krafft,55.105400000000000,287.749741745360000,14.913554278198300,"Catena, catenae",CA
