name,diameter,center_lon,center_lat
Ball,40.31,351.60,-35.92
Balmer,136.29,70.22,-20.27
Rimae Bürg,98,25.27,44.70
Rimae Chacornac,100,31.24,29.00
Banachiewicz,99.09,80.00,5.27
Bancroft,12.49,353.56,28.06
Rimae Daniell,140.24,24.32,37.52
Barbier,65.37,157.93,-23.85
Rimae Gassendi,70,320.12,-17.47
Rimae Gerard,110,275.63,45.53
Rima Suess,156.38,312.85,6.62
Rima Yangel',30.39,4.79,16.62
Barkla,40.89,67.21,-10.66
Rima Sharp,276.66,309.63,46.01
Rima Sheepshanks,157.49,23.68,58.27
Rimae Goclenius,190,42.87,-7.83
Rimae Grimaldi,162,296.10,-6.18
Louville,34.81,313.96,44.12
Arago,25.50,21.42,6.14
Aratus,10.23,4.50,23.57
Rimae Darwin,170,293.34,-19.84
Rimae Parry,210,343.48,-8.06
Archimedes,81.04,356.00,29.71
Rimae Gutenberg,223,36.41,-4.42
Rimae Mersenius,240,313.47,-20.69
Rimae Posidonius,78,29.60,32.03
Rimae Herigonius,180,323.24,-13.92
Rimae Janssen,120,39.26,-45.79
Rimae Hevelius,180,293.62,0.80
Archytas,31.94,4.99,58.86
Barnard,115.73,85.94,-29.78
Barocius,82.72,16.80,-44.97
Rimae Petavius,110,60.48,-25.23
Barringer,66.89,209.56,-28.21
Rimae Kopff,250,271.89,-14.68
Rimae Littrow,165,30.47,22.46
Rimae Maclear,94,19.89,12.23
Rimae Maestlin,71,319.51,2.88
Rimae Plinius,100,23.14,17.05
Barrow,93.82,7.58,71.28
Rimae Hippalus,266,330.64,-25.59
Rimae Hypatia,200,22.77,-0.33
Bartels,54.95,270.15,24.50
Bouguer,22.23,324.17,52.32
Rimae Opelt,55,341.86,-13.64
Rimae Sulpicius Gallus,80,9.99,20.65
Boss,50.20,88.67,45.74
Rimae Pettit,320,266.37,-25.21
Rimae Ramsden,100,328.67,-32.92
Bonpland,59.24,342.66,-8.37
Rimae Pitatus,90,346.37,-29.83
Stadius L,2.87,347.04,10.12
Rimae Plato,180,356.98,50.87
Argelander,33.71,5.80,-16.54
Ariadaeus,10.40,17.27,4.55
Aristarchus,39.99,312.50,23.72
Mare Fecunditatis,840.35,53.66,-7.83
Aldrin,2.80,22.08,1.40
Alan,1.43,353.82,-10.93
Aristoteles,87.56,17.32,50.24
Rimae Taruntius,35,46.82,5.82
Rimae Theaetetus,53,5.86,33.03
Armstrong,4.21,24.94,1.35
Rimae Zupus,130,306.23,-15.46
Aristillus,54.37,1.20,33.88
Armi?ski,26.76,154.21,-16.36
Alekhin,74.81,228.14,-67.94
Rimae Ritter,75,17.96,3.50
Rimae Römer,112,34.86,26.98
Rimae Secchi,35,44.08,0.99
Rimae Triesnecker,200,4.83,5.10
Rimae Vasco da Gama,10.39,275.96,11.54
Alexander,94.80,13.69,40.25
Rimae Prinz,10.94,316.49,27.04
Rimae Riccioli,250,286.92,-1.51
Abulfeda,62.23,13.91,-13.86
Acosta,13.06,60.13,-5.64
Hainzel T,12.13,322.67,-40.19
Liouville,16.12,73.56,2.72
Adams,63.27,68.38,-31.89
Landsteiner,6.11,345.21,31.29
Agatharchides,51.98,328.88,-19.85
Mare Humboldtianum,230.78,81.54,56.92
Mons Vitruvius,44.27,30.73,19.33
Agrippa,43.74,10.47,4.09
Airy,38.89,5.61,-18.14
Mare Humorum,419.66,321.42,-24.47
Al-Bakri,12.21,20.24,14.33
Aitken,129.69,172.95,-16.44
Akis,2.28,328.24,20.01
Al-Khwarizmi,56.25,107.00,7.02
Al-Marrakushi,8.56,55.77,-10.44
Al-Biruni,80.41,92.61,18.07
Boris,1.72,326.49,30.53
Albategnius,130.84,4.00,-11.24
Alden,111.43,111.11,-23.50
Billy K,4.20,311.14,-12.96
Arnold,93.13,35.82,66.98
Mare Marginis,357.63,86.51,12.70
Krogh,19.17,65.68,9.41
Alder,82.12,182.11,-48.62
Mons Hadley Delta,17.24,3.70,25.72
Blanchinus M,4.11,2.57,-25.22
Arrhenius,40.93,268.54,-55.58
Artamonov,62.44,103.78,25.43
Amontons,2.46,46.77,-5.33
Amundsen,103.39,83.06,-84.43
Anaximander,68.71,308.55,66.96
Mare Moscoviense,275.57,148.12,27.28
Anaxagoras,51.89,349.82,73.48
Ango,0.87,327.66,20.47
Anaximenes,81.11,315.01,72.48
Anders,41.32,216.69,-41.31
Mare Nectaris,339.38,34.60,-15.18
Anderson,105.32,170.79,15.49
Andersson,13.41,264.53,-49.94
Mare Serenitatis,674.27,18.35,27.28
Andronov,16.56,146.10,-22.68
And?l,32.93,12.38,-10.41
Mare Smythii,373.96,87.04,-1.70
Mons Wolff,32.86,353.19,16.87
Mont Blanc,21.56,0.44,45.41
Angström,9.55,318.33,29.89
Ann,2.11,359.94,25.10
Birt E,5.34,350.33,-20.72
Annegrit,1.28,334.36,29.43
Ansgarius,91.41,79.72,-12.92
Anville,10.25,49.50,1.84
Antoniadi,137.91,186.94,-69.30
