name,diameter,center_lon,center_lat
Esk,3.66,352.97,45.20
Espino,12.04,110.33,-19.69
Eudoxus,98.51,212.77,-44.51
Faith,5.30,348.17,42.92
Falun,10.00,335.32,-23.95
Faqu,12.25,106.34,-24.54
Fastov,11.11,339.62,-25.04
Fenagh,6.21,144.36,34.29
Fesenkov,87.38,273.47,21.66
Flammarion,173.7,48.27,25.22
Flat,3.03,340.45,-25.41
Flaugergues,236.06,19.22,-16.79
Floq,2.55,107.15,14.94
Flora,18.30,308.55,-44.66
Focas,72.02,12.75,33.56
Fontana,80.06,287.88,-62.90
Foros,24.54,332.12,-33.39
Fournier,114.27,72.63,-4.29
Freedom,12.74,351.01,43.35
Funchal,1.61,310.56,22.98
Gaan,3.00,356.59,38.65
Gagra,13.40,337.89,-20.63
Galdakao,33.43,176.62,-13.33
Gale,154.08,137.81,-5.36
Gali,25.86,322.81,-43.74
Galilaei,137.17,333.09,5.72
Galle,223.52,329.00,-50.62
Galu,13.56,338.33,-22.07
Gander,36.08,94.22,-31.25
Gandu,9.48,312.71,-45.37
Gandzani,51.91,269.16,34.23
Gardo,15.52,335.22,-26.66
Gari,9.42,288.77,-35.87
Garm,4.80,350.93,48.25
Gastre,7.09,112.52,24.60
Gilbert,121.34,86.08,-67.99
Gill,83.17,5.54,15.76
Glazov,22.01,333.41,-20.62
Gledhill,78.46,87.10,-53.17
Glendore,8.22,308.33,18.33
Glide,9.84,316.82,-8.13
Globe,50.74,332.64,-23.68
Goba,10.89,338.98,-23.22
Goff,7.95,104.85,23.26
Gol,9.53,349.35,47.15
Gold,8.90,328.75,20.02
Golden,19.59,326.51,-22.00
Gori,6.43,331.17,-22.94
Graff,154.49,153.80,-21.18
Green,182.07,351.45,-52.30
Grójec,37.31,329.15,-21.47
Guaymas,20.11,314.96,25.66
Guir,18.20,339.49,-21.53
Gulch,8.32,109.02,15.84
Gunnison,39.57,102.91,-43.66
Gusev,158.12,175.52,-14.53
Gwash,4.74,356.83,38.96
Hadley,115.45,156.97,-19.26
Haldane,76.74,129.25,-52.74
Hale,137.31,323.63,-35.68
Halley,83.71,300.73,-48.34
Ham,1.59,327.50,-44.67
Hamelin,9.74,327.24,20.25
Handlová,4.38,271.41,37.68
Harad?,8.06,331.99,-27.45
Hartwig,99.33,344.13,-38.65
Heaviside,83.28,264.78,-70.50
Hope,7.26,349.70,44.83
Heinlein,85.34,116.30,-64.48
Helmholtz,111.25,338.72,-45.39
Henry,167.56,23.44,10.78
Herculaneum,34.71,301.34,19.30
Herschel,297.91,129.89,-14.48
Hipparchus,94.81,208.79,-44.45
Holden,152.66,325.98,-26.04
Holmes,114.06,66.54,-74.85
Honda,9.26,343.60,-22.39
Hooke,137.65,315.60,-44.92
Houston,1.98,135.94,48.22
Huancayo,24.34,320.23,-3.63
Huggins,82.63,155.84,-49.03
Hussey,99.71,233.41,-53.31
Hutton,91.74,104.60,-71.63
Huxley,106.52,100.77,-62.67
Huygens,467.25,55.58,-13.88
H?t,7.09,138.34,47.05
Ibragimov,86.76,300.43,-25.43
Igal,8.82,110.89,-20.09
Ikej,4.51,112.50,20.95
Imgr,3.42,111.18,19.12
Innsbruck,59.00,320.03,-6.39
